index,Model,Elo rating
1,gpt-4-turbo-2024-04-09,1257.6348660224012
2,gpt-4-1106-preview,1251.8775707633133
3,gemini-1.5-pro-api-0409-preview,1248.8918503955676
4,claude-3-opus-20240229,1248.3000977996383
5,gpt-4-0125-preview,1245.8720812752813
6,bard-jan-24-gemini-pro,1208.4080803664103
7,llama-3-70b-instruct,1208.0316020191522
8,claude-3-sonnet-20240229,1200.2424689195836
9,reka-core-20240501,1199.3866766754054
10,command-r-plus,1189.1421473464486
11,gpt-4-0314,1188.9329829724886
12,qwen-max-0428,1186.2142688887163
13,claude-3-haiku-20240307,1180.450257412639
14,qwen1.5-110b-chat,1171.9902616691127
15,gpt-4-0613,1165.0893662745268
16,mistral-large-2402,1155.7020539486127
17,llama-3-8b-instruct,1154.4755300526606
18,reka-flash-21b-20240226-online,1153.8739809365775
19,qwen1.5-72b-chat,1152.2617772261626
20,claude-1,1150.2972909401053
21,reka-flash-21b-20240226,1148.6131639487148
22,command-r,1147.6087417650485
23,mistral-medium,1147.1935276575994
24,mixtral-8x22b-instruct-v0.1,1146.422204859063
25,gemini-pro-dev-api,1135.3529954632536
26,qwen1.5-32b-chat,1133.7381093991016
27,claude-2.0,1132.1397513762217
28,zephyr-orpo-141b-A35b-v0.1,1129.2989774075174
29,mistral-next,1126.4770983992157
30,gpt-3.5-turbo-0613,1119.736500320895
31,claude-2.1,1118.646455977539
32,qwen1.5-14b-chat,1118.5702292665585
33,starling-lm-7b-beta,1118.1977616538222
34,gemini-pro,1115.0604539944782
35,mixtral-8x7b-instruct-v0.1,1114.0
36,yi-34b-chat,1113.1491364208337
37,claude-instant-1,1110.3689304813176
38,gpt-3.5-turbo-0314,1108.7643953726833
39,wizardlm-70b,1108.4943355935868
40,gpt-3.5-turbo-0125,1108.0741371970046
41,dbrx-instruct-preview,1103.0867743734757
42,tulu-2-dpo-70b,1102.6940770367737
43,snowflake-arctic-instruct,1098.4296330498373
44,openchat-3.5-0106,1098.2468572801463
45,vicuna-33b,1093.8328172663169
46,starling-lm-7b-alpha,1091.3401170766338
47,llama-2-70b-chat,1089.309333659511
48,nous-hermes-2-mixtral-8x7b-dpo,1087.1835476889755
49,gemma-1.1-7b-it,1084.4644409353434
50,llama2-70b-steerlm-chat,1082.3626618557646
51,deepseek-llm-67b-chat,1079.6352970448515
52,qwen1.5-7b-chat,1079.0621494125792
53,openchat-3.5,1078.6113572157315
54,openhermes-2.5-mistral-7b,1078.5307064972399
55,pplx-70b-online,1075.3473525129848
56,mistral-7b-instruct-v0.2,1074.2936061893786
57,gpt-3.5-turbo-1106,1072.5075010391813
58,dolphin-2.2.1-mistral-7b,1065.4666696545387
59,solar-10.7b-instruct-v1.0,1064.9911875982943
60,wizardlm-13b,1061.874877681213
61,llama-2-13b-chat,1057.1420172776054
62,zephyr-7b-beta,1054.43901591254
63,phi-3-mini-128k-instruct,1052.0243832696847
64,vicuna-13b,1048.1876333509786
65,mpt-30b-chat,1047.8834635188423
66,codellama-34b-instruct,1047.356398345113
67,codellama-70b-instruct,1047.076850783845
68,pplx-7b-online,1043.2718279179003
69,zephyr-7b-alpha,1043.217749676921
70,gemma-7b-it,1043.217501775675
71,llama-2-7b-chat,1041.2558073981531
72,qwen-14b-chat,1038.5631025380073
73,falcon-180b-chat,1036.9697610712883
74,guanaco-33b,1034.464270921162
75,stripedhyena-nous-7b,1023.046805731075
76,gemma-1.1-2b-it,1021.2261209151605
77,olmo-7b-instruct,1020.1238611624902
78,mistral-7b-instruct,1012.2194184010598
79,palm-2,1009.6982910777374
80,vicuna-7b,1009.3723682553264
81,qwen1.5-4b-chat,1002.4291227382984
82,gemma-2b-it,999.4515712215627
83,koala-13b,969.4423493310562
84,chatglm3-6b,960.7975067395432
85,gpt4all-13b-snoozy,938.7776952225258
86,chatglm2-6b,933.4822530757699
87,mpt-7b-chat,933.3109302629757
88,RWKV-4-Raven-14B,928.4148359179862
89,alpaca-13b,908.0377528254978
90,oasst-pythia-12b,900.2375335912992
91,chatglm-6b,886.8702936496247
92,fastchat-t5-3b,876.8954428108914
93,stablelm-tuned-alpha-7b,848.8990709242548
94,dolly-v2-12b,826.5776852820918
95,llama-13b,804.3375288982463
